Name,Compare,Pos,Age,Team,GP,Top Speed,Average Speed,100+ MPH,100+ MPH/G,90-100 MPH,90-100 MPH/G,80-90 MPH,80-90 MPH/G,70-80 MPH,70-80 MPH/G
ZACH HYMAN,,R,34.0,EDM,58,78.81,37.27,0,0.00,0,0.00,0,0.00,13,0.22
ISAC LUNDESTROM,,R,26.6,CBJ,68,78.67,51.62,0,0.00,0,0.00,0,0.00,10,0.15
JACOB MELANSON,,R,23.1,SEA,36,78.66,49.37,0,0.00,0,0.00,0,0.00,11,0.31
CASEY MITTELSTADT,,L,27.5,BOS,71,78.17,49.26,0,0.00,0,0.00,0,0.00,21,0.30
RYAN LOMBERG,,L,31.5,CGY,57,78.05,54.19,0,0.00,0,0.00,0,0.00,14,0.25
GABE PERREAULT,,L,21.1,NYR,49,77.78,47.06,0,0.00,0,0.00,0,0.00,9,0.18
JUHO LAMMIKKO,,L,30.3,,24,77.45,49.77,0,0.00,0,0.00,0,0.00,2,0.08
BRAYDEN POINT,,C,30.2,T.B,63,77.27,45.89,0,0.00,0,0.00,0,0.00,14,0.22
VLADISLAV NAMESTNIKOV,,C,33.5,WPG,60,77.2,48.1,0,0.00,0,0.00,0,0.00,5,0.08
NOEL ACCIARI,,R,34.5,PIT,67,76.98,45.51,0,0.00,0,0.00,0,0.00,11,0.16
SAMMY BLAIS,,L,30.0,MTL,21,76.94,47.97,0,0.00,0,0.00,0,0.00,3,0.14
SONNY MILANO,,R,30.1,WSH,31,76.85,46.32,0,0.00,0,0.00,0,0.00,4,0.13
ALEXANDER KERFOOT,,L,31.8,UTA,34,76.82,45.55,0,0.00,0,0.00,0,0.00,6,0.18
PATRICK KANE,,R,37.5,DET,67,76.45,55.4,0,0.00,0,0.00,0,0.00,45,0.67
GUSTAV NYQUIST,,L,36.8,WPG,51,76.34,49.2,0,0.00,0,0.00,0,0.00,10,0.20
OZZY WIESBLATT,,R,24.2,NSH,40,75.97,48.84,0,0.00,0,0.00,0,0.00,5,0.13
JAKE EVANS,,C,30.0,MTL,68,75.74,45.19,0,0.00,0,0.00,0,0.00,13,0.19
TOMAS NOSEK,,C,33.8,FLA,21,75.27,46.97,0,0.00,0,0.00,0,0.00,4,0.19
JOSH SAMANSKI,,C,24.2,EDM,24,74.67,48.47,0,0.00,0,0.00,0,0.00,3,0.13
BRAD LAMBERT,,R,22.5,WPG,25,73.85,47.85,0,0.00,0,0.00,0,0.00,8,0.32
OSKAR BACK,,C,26.2,DAL,72,72.86,36.98,0,0.00,0,0.00,0,0.00,1,0.01
SAM LAFFERTY,,C,31.2,CHI,29,71.64,41.53,0,0.00,0,0.00,0,0.00,1,0.03
MATT REMPE,,R,23.9,NYR,26,70.28,32.3,0,0.00,0,0.00,0,0.00,1,0.04
MATTIAS JANMARK,,L,33.5,EDM,43,68.33,38.62,0,0.00,0,0.00,0,0.00,0,0.00
