,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
DAMON SEVERSON,,D,31.8,CBJ,70,186.18,8.38,3.94,1.49,168.88,8.45,3.42,1.37,6.2,9.56,0.51,0.43,11.1,6.97,0.75,0.47
BRADY TKACHUK,,L,26.7,OTT,72,185.94,8.5,3.2,1.29,160.34,8.99,2.75,1.15,25.44,6.32,0.96,0.42,0.17,6.69,0.09,0.09
JACKSON BLAKE,,R,22.8,CAR,80,185.85,10.07,3.73,1.36,161.68,10.32,3.27,1.25,24.08,8.65,1.32,1.02,0.09,10.74,0.04,0.04
JORDAN SPENCE,,D,25.3,OTT,79,185.39,8.39,3.52,1.46,166.53,8.41,3.35,1.39,12.35,8.8,0.66,0.41,6.51,7.23,0.4,0.25
SAM STEEL,,L,28.3,DAL,79,185.01,9.94,3.21,1.36,159.15,10.08,3.05,1.27,2.22,9.76,0.32,0.28,23.64,9.09,0.64,0.4
MARK STONE,,R,34.1,VGK,66,184.62,8.72,3.38,1.3,155.8,9.15,2.9,1.3,18.21,6.31,0.91,0.48,10.61,8.32,0.4,0.29
WILL SMITH,,R,21.2,S.J,74,184.45,9.43,3.95,1.25,162.07,9.54,3.63,1.25,21.97,8.74,0.75,0.52,0.42,8.98,0.12,0.12
MATHIEU OLIVIER,,R,29.3,CBJ,82,184.19,9.32,3.23,1.29,171.31,9.43,3.23,1.29,2.83,8.81,0.27,0.27,10.05,7.91,0.43,0.27
KIEFER SHERWOOD,,R,31.2,S.J,78,183.69,9.49,2.98,1.2,157.72,9.63,2.63,1.08,8.77,8.18,0.62,0.28,17.2,9.01,0.6,0.26
JACK MCBAIN,,L,26.4,UTA,82,183.16,9.87,2.81,1.25,163.08,10.08,2.77,1.19,3.42,8.09,0.29,0.29,16.66,8.53,0.61,0.55
PEYTON KREBS,,L,25.4,BUF,81,182.74,9.72,3.28,1.37,171.15,9.85,2.96,1.37,5.67,8.28,0.45,0.31,5.92,7.98,0.36,0.21
CASEY CIZIKAS,,C,35.3,NYI,82,182.23,10.23,2.85,1.1,170.69,10.3,2.84,1.04,1.03,9.82,0.19,0.19,10.51,9.13,0.48,0.3
MAXIM TSYPLAKOV,,R,27.7,N.J,77,182.12,9.48,3,1.16,166.43,9.65,2.99,1.16,15.66,8.02,0.82,0.35,0.04,11,0.02,0.02
MIRO HEISKANEN,,D,26.9,DAL,50,182.11,8.69,4.51,1.72,150.93,8.67,3.96,1.53,27.25,9.13,1.46,0.76,3.93,6.91,0.42,0.26
MICHAEL BUNTING,,L,30.7,DAL,76,182.1,9.26,2.98,1.25,161.3,9.43,2.94,1.17,20.78,8.09,0.73,0.47,0.02,6.66,0.01,0.01
AARON EKBLAD,,D,30.3,FLA,56,182.05,8.3,3.79,1.54,144.73,8.43,3.46,1.45,20.43,8.17,1.1,0.55,16.88,7.42,0.85,0.39
VASILY PODKOLZIN,,L,24.9,EDM,82,181.75,10.06,3.08,1.19,172,10.09,2.77,1.16,0,0,0.1,0.1,9.49,9.48,0.46,0.32
OLEN ZELLWEGER,,D,22.7,ANA,62,181.22,9.25,3.65,1.48,157.55,9.25,3.02,1.3,23.1,9.3,1.15,0.68,0.57,7.59,0.3,0.11
NICK FOLIGNO,,L,38.6,MIN,78,181.11,8.75,2.95,1.18,153.84,8.97,2.58,1.1,3.43,5.3,0.55,0.31,23.83,8.22,0.98,0.44
JOEL ARMIA,,L,33.0,L.A,81,181.05,9.38,2.89,1.17,145.81,9.81,2.57,1.09,8.59,8.42,0.6,0.49,26.66,7.77,0.73,0.5
ZACH WHITECLOUD,,D,29.5,CGY,74,179.96,8.33,3.38,1.29,170.85,8.43,3.1,1.25,0.12,9.32,0.05,0.05,8.99,6.83,0.51,0.29
TEDDY BLUEGER,,C,31.8,VAN,82,179.78,9.19,2.89,1.15,154.5,9.31,2.82,1.07,0.92,10.09,0.1,0.1,24.36,8.46,0.68,0.41
RASMUS RISTOLAINEN,,D,31.6,PHI,63,179.77,8.34,3.49,1.33,156.64,8.47,3.17,1.32,9.44,8.65,0.92,0.66,13.69,6.95,0.82,0.35
LOGAN O'CONNOR,,R,29.8,COL,80,179.49,9.53,3.07,1.18,157.66,9.77,2.88,1.1,0,0,0.23,0.23,20.97,7.98,0.75,0.47
MARTIN POSPISIL,,R,26.5,CGY,81,179.38,9.62,3.13,1.2,169.03,9.71,2.82,1.14,9.43,8.31,0.61,0.36,0.93,9.32,0.18,0.18
NICK SEELER,,D,33.0,PHI,77,179.37,8.09,3.21,1.17,164.5,8.18,3.12,1.15,0.19,8.57,0.09,0.09,14.68,7.19,0.64,0.35
LAWSON CROUSE,,R,28.9,UTA,81,179.25,9.67,2.94,1.07,159.99,9.92,2.62,1,11,7.81,0.53,0.37,8.26,8.32,0.45,0.26
ADAM PELECH,,D,31.8,NYI,60,179.15,8.49,3.63,1.53,164.94,8.67,3.48,1.37,1.45,9.28,0.42,0.18,12.76,6.63,0.57,0.42
JESPERI KOTKANIEMI,,C,25.9,CAR,78,178.95,9.79,2.89,1.25,161.07,9.79,2.68,1.1,17.09,9.78,0.68,0.52,0.78,9.28,0.06,0.05
DMITRI VORONKOV,,L,25.7,CBJ,73,178.51,8.74,3.22,1.21,161.51,9.06,3.22,1.2,16.55,6.48,0.77,0.42,0.45,9.05,0.08,0.08
JACK ROSLOVIC,,R,29.3,EDM,81,178.41,9.56,3.06,1.21,160.53,9.62,2.96,1.11,17.76,9.16,0.6,0.42,0.11,4.52,0.04,0.03
SAM MALINSKI,,D,27.9,COL,76,178.29,8.82,3.61,1.38,172.79,8.85,3.04,1.28,2.82,9.14,0.56,0.45,2.67,7.05,0.3,0.19
KEEGAN KOLESAR,,R,29.2,VGK,82,177.73,9.86,3.02,1.16,171.25,9.87,2.95,1.16,0.08,7.28,0.04,0.04,6.4,9.58,0.34,0.25
ZACH BENSON,,L,21.1,BUF,75,177.43,9.58,3.11,1.22,153.02,9.78,3.08,1.22,13.52,7.67,0.6,0.31,10.89,9.71,0.56,0.38
NIKOLAJ EHLERS,,L,30.3,CAR,69,177.16,9.75,3.32,1.22,153.27,10.07,3.02,1.15,23.64,8.11,0.97,0.52,0.25,9.64,0.06,0.06
COLE SILLINGER,,L,23.1,CBJ,66,176.71,9.5,3.7,1.26,151.8,9.77,3.32,1.24,12.4,8.13,0.6,0.46,12.51,8.15,0.69,0.36
ANTHONY BEAUVILLIER,,R,29.0,WSH,81,176.44,10.15,3.19,1.21,171.59,10.18,3.1,1.16,2.03,9.38,0.46,0.28,2.81,9.29,0.39,0.26
BOBBY MCMANN,,L,30.0,SEA,74,176.3,9.86,3.49,1.36,163.9,10.01,3.26,1.36,12.03,8.19,0.46,0.31,0.37,9.25,0.08,0.08
JESPER BOQVIST,,R,27.6,FLA,78,176.29,10.24,3.09,1.17,160.62,10.41,2.95,1.09,1.49,9.61,0.41,0.23,14.18,8.67,0.53,0.38
ZACH BOGOSIAN,,D,35.9,MIN,81,175.84,8.24,3.3,1.42,159.18,8.42,3.25,1.31,0.32,9.72,0.17,0.17,16.34,6.8,0.64,0.35
BRENDAN GALLAGHER,,R,34.1,MTL,82,175.66,9.24,2.57,1.11,158.18,9.34,2.41,1,17.36,8.39,0.65,0.45,0,0,0.08,0.08
JASON ZUCKER,,L,34.4,BUF,73,175.47,9.02,3.24,1.43,149.44,9.36,2.79,1.12,25.82,7.41,0.85,0.44,0,0,0.14,0.14
DYLAN SAMBERG,,D,27.4,WPG,60,175.39,8.3,3.79,1.27,158.5,8.52,3.35,1.24,0.79,8.22,0.08,0.08,16.1,6.6,0.67,0.41
ZACHARY ASTON-REESE,,L,31.8,CBJ,79,175.11,9.89,2.85,1.1,160.73,10.02,2.68,1.06,1.09,8.12,0.13,0.13,13.3,8.67,0.64,0.5
CHARLIE MCAVOY,,D,28.5,BOS,50,174.95,8.87,4.18,1.69,139.77,9,4.1,1.69,24.41,8.85,1.13,0.71,10.78,7.46,0.53,0.36
NICOLAS ROY,,R,29.3,COL,71,174.88,9.71,3.27,1.27,157.36,10.03,3.12,1.16,9.78,6.96,0.55,0.35,7.74,8.42,0.37,0.37
JACK QUINN,,R,24.7,BUF,74,174.29,9.51,3.1,1.28,150.56,9.74,2.68,1.23,22.49,8.19,0.75,0.4,1.23,9.74,0.23,0.14
SIMON BENOIT,,D,27.7,PHI,78,173.92,8.09,3.05,1.15,156.51,8.34,2.82,1.14,0.18,8.47,0.04,0.04,17.22,6.35,0.57,0.37
DANTON HEINEN,,R,30.9,CBJ,79,173.22,9.79,2.97,1.16,152.73,9.88,2.76,1.11,8.97,9.21,0.53,0.45,11.52,9.15,0.6,0.27
LARS ELLER,,C,37.1,OTT,80,172.39,9.73,3.36,1.27,156.33,9.83,2.7,1.13,4.04,9.43,0.46,0.35,12.01,8.68,0.62,0.46
BRANDON SAAD,,L,33.6,VGK,72,171.66,9.65,3.17,1.15,157.43,9.71,2.98,1.09,7.69,8.88,0.6,0.32,6.53,9.19,0.46,0.29
BRANDON TANEV,,R,34.4,UTA,79,171.39,9.84,2.88,1.11,149.72,10.13,2.81,1.01,0.81,11.03,0.13,0.13,20.87,8.13,0.82,0.61
PAUL COTTER,,L,26.5,N.J,79,171.37,9.95,2.97,1.31,165.84,10.02,2.97,1.31,4.96,8.35,0.33,0.29,0.57,8.39,0.12,0.12
ALEX IAFALLO,,R,32.5,WPG,82,171.11,9.43,3.19,1.17,135.34,9.76,2.86,1.1,14.96,8,0.68,0.33,20.8,8.59,0.89,0.49
ONDREJ PALAT,,L,35.2,NYI,77,171.06,9.69,2.95,1.24,158.61,9.79,2.75,1.24,8.52,8.62,0.52,0.46,3.93,8.5,0.37,0.24
MAX DOMI,,C,31.3,TOR,74,171.02,9.79,3.48,1.17,156.89,9.82,3.29,1.17,13.95,9.42,0.57,0.32,0.17,11.44,0.07,0.07
DARREN RADDYSH,,D,30.3,TOR,73,170.72,8.11,3.32,1.32,152.46,8.14,3.03,1.25,16.97,7.85,0.82,0.45,1.28,7.88,0.22,0.13
ALEX OVECHKIN,,L,40.7,WSH,65,170.4,8.87,3.24,1.56,139.04,9.47,3.04,1.12,31.15,6.93,1.3,1.02,0.22,9.73,0.08,0.08
COLTON SISSONS,,R,32.6,VGK,72,170.35,9.89,2.97,1.33,145.49,10.12,2.79,1.11,2.93,8.95,0.4,0.31,21.94,8.7,0.68,0.49
ANDREW MANGIAPANE,,L,30.2,CHI,81,170.17,9.68,3.15,1.27,154.16,9.8,2.67,1.01,14.15,8.65,0.6,0.56,1.87,8.82,0.34,0.31
NOEL ACCIARI,,R,34.5,PIT,79,169.96,9.38,3,1.14,142.74,9.56,2.67,1.02,0.32,9.52,0.08,0.08,26.9,8.53,0.9,0.64
LUKE KUNIN,,C,28.5,FLA,75,169.51,9.23,2.91,1.07,144.9,9.39,2.53,1.04,6.71,8.09,0.65,0.34,17.91,8.51,0.67,0.44
MICHAEL AMADIO,,R,30.1,OTT,72,168.98,9.99,3.36,1.25,160.22,10.1,3.19,1.25,4.19,7.97,0.42,0.29,4.58,8.65,0.49,0.26
PAVEL MINTYUKOV,,D,22.5,ANA,68,167.62,8.4,3.43,1.21,152.24,8.47,2.91,1.13,8.94,8.93,0.78,0.41,6.44,6.59,0.6,0.34
TY EMBERSON,,D,26.0,EDM,76,167.52,8.75,3.22,1.44,148.91,8.96,2.99,1.33,0.32,8.37,0.14,0.08,18.28,7.34,0.62,0.51
PARKER KELLY,,L,27.1,COL,80,167.12,9.84,2.93,1.18,144.34,10.05,2.54,1.12,0,0,0.25,0.25,22.15,8.52,0.9,0.49
MICHAEL MCCARRON,,C,31.2,MIN,74,166.83,9.83,2.97,1.14,140.76,10.01,2.59,1.03,0.34,8.6,0.07,0.07,25.72,8.97,0.81,0.58
UVIS BALINSKIS,,D,29.8,FLA,76,166.74,8.86,2.98,1.26,151.72,8.91,2.83,1.14,11.07,8.9,1.11,0.64,3.95,7.36,0.48,0.21
MARCUS FOLIGNO,,L,34.8,MIN,77,166.22,8.94,2.76,1.1,149.91,9.18,2.59,1.1,3.61,7.43,0.4,0.26,12.7,7.14,0.63,0.34
NICK BLANKENBURG,,D,28.1,COL,60,165.92,8.49,3.26,1.43,140.02,8.68,2.84,1.25,8.91,8.33,0.82,0.46,16.99,7.25,0.67,0.45
ERIC ROBINSON,,R,31.0,CAR,82,165.5,9.88,2.89,1.19,155.74,9.93,2.7,1.16,0.28,9.26,0.08,0.08,9.48,9.15,0.64,0.32
TYLER KLEVEN,,D,24.4,OTT,79,165.42,8.68,3.33,1.3,161.6,8.71,3.22,1.18,1.28,8.37,0.47,0.35,2.54,7.7,0.31,0.2
BRANDON DUHAIME,,L,29.0,WSH,82,165.39,9.07,2.69,0.97,141.82,9.37,2.58,0.97,0.22,8.17,0.05,0.04,23.35,7.6,0.64,0.39
CONOR TIMMINS,,D,27.7,BUF,68,165.37,8.62,3.28,1.31,150.02,8.81,3.16,1.23,2.5,9.54,0.3,0.21,12.84,6.83,0.45,0.34
MASON APPLETON,,R,30.4,DET,71,165.27,9.42,2.97,1.11,155.33,9.47,2.97,1.04,2.39,9,0.31,0.31,7.55,8.51,0.4,0.27
ISAC LUNDESTROM,,R,26.6,CBJ,79,165.08,9.26,3.09,1.1,136.85,9.51,2.61,1.07,0,0,0.3,0.19,27.47,8.11,0.83,0.49
MATTIAS SAMUELSSON,,D,26.2,BUF,62,165,8.27,3.59,1.45,146.17,8.57,3.26,1.31,0.11,8.8,0.03,0.03,18.72,6.51,0.67,0.45
JONAS BRODIN,,D,32.9,MIN,50,164.79,8.62,4.35,1.73,153.94,8.78,4.24,1.73,1.13,8.28,0.27,0.27,9.71,6.7,0.68,0.37
LUKE SCHENN,,D,36.6,BUF,76,164.71,8.15,2.74,1.13,152.91,8.24,2.64,1.02,0.18,5.48,0.07,0.07,11.62,7.14,0.44,0.28
VIKTOR ARVIDSSON,,R,33.2,BOS,67,164.6,9.83,3.01,1.19,150.67,9.87,2.75,1.19,11.13,9.1,0.91,0.66,2.8,10.66,0.29,0.29
CHRIS KREIDER,,L,35.1,ANA,68,164.44,8.66,3.41,1.18,127.28,9.23,2.86,1.18,21.89,6.67,0.69,0.46,15.27,7.94,0.64,0.39
CONNOR CLIFTON,,D,31.1,PIT,73,164.43,8.42,3.21,1.25,140.32,8.68,2.87,1.24,0,0,0.11,0.11,23.9,7.15,0.71,0.5
JOEL KIVIRANTA,,R,30.2,COL,79,164.21,9.96,2.69,1.16,147.56,10.14,2.6,1.16,0.97,10.29,0.3,0.24,15.68,8.51,0.49,0.38
ERIK HAULA,,C,35.2,NSH,69,163.29,9.66,3.27,1.16,143.11,9.91,2.72,1.09,7.38,9.74,0.58,0.4,12.81,7.47,0.44,0.33
ALEXEY TOROPCHENKO,,L,26.9,STL,80,161.44,9.69,2.7,1,147.42,9.82,2.43,0.99,0.91,8.99,0.16,0.16,13.11,8.47,0.46,0.31
BARCLAY GOODROW,,L,33.3,S.J,77,161.41,9.13,2.78,1.12,135.5,9.4,2.69,1.01,5.28,7.93,0.47,0.28,20.63,7.92,0.68,0.38
NICOLAS HAGUE,,D,27.5,NSH,68,161.19,8.37,3.1,1.27,153.01,8.46,2.99,1.27,0.24,11.59,0.09,0.07,7.94,6.9,0.47,0.29
MATTIAS JANMARK,,L,33.5,EDM,80,160.98,9.08,2.73,1.02,144.53,9.29,2.46,1.02,0.23,7.33,0.06,0.04,16.22,7.58,0.66,0.35
JUSTIN BARRON,,D,24.5,NSH,62,160.69,8.92,3.49,1.28,151.19,9.02,3.21,1.24,1.97,9.49,0.33,0.23,7.53,7.27,0.57,0.29
KAIDEN GUHLE,,D,24.4,MTL,55,160.13,8.25,3.54,1.37,146.42,8.43,3.33,1.34,0.89,9.81,0.15,0.15,12.83,6.55,0.56,0.42
SAM CARRICK,,C,34.3,BUF,80,160.05,10.06,2.87,1.07,146.01,10.19,2.69,1.07,0,0,0.18,0.18,13.46,8.7,0.63,0.32
JOSH NORRIS,,C,27.1,BUF,56,159.82,9.33,3.58,1.25,122.49,10.01,2.84,1.19,21.17,7.55,0.86,0.58,16.16,7.76,0.77,0.61
SEAN MONAHAN,,C,31.6,CBJ,54,159.67,9.33,3.73,1.46,130.51,9.72,3.39,1.46,17.5,7.57,0.82,0.44,11.66,8.5,0.52,0.33
MACKIE SAMOSKEVICH,,L,23.6,SEA,72,159.66,9.99,3.65,1.3,142.98,10.22,3.1,1.2,16.55,8.34,0.9,0.65,0.13,8.02,0.1,0.1
ANDREI KUZMENKO,,R,30.3,L.A,66,159.62,9.28,3.15,1.27,137.65,9.73,2.81,1.15,21.94,7.23,0.89,0.48,0.03,1.77,0.02,0.02
EMIL LILLEBERG,,D,25.3,T.B,76,159.45,8.24,3.11,1.23,152.47,8.32,3.11,1.23,0.3,9.95,0.07,0.05,6.68,6.61,0.7,0.26
RYAN POEHLING,,C,27.4,ANA,68,159.19,10.12,3.21,1.2,141.4,10.29,3.21,1.16,3.19,9.47,0.44,0.24,14.6,8.86,0.67,0.39
SEAN KURALY,,C,33.4,BOS,82,159.03,9.89,2.97,1.42,147.8,10.02,2.61,1.08,0.98,8.9,0.32,0.32,10.25,8.39,0.52,0.32
RYAN HARTMAN,,R,31.7,MIN,69,158.76,9.22,3.62,1.33,146.64,9.37,3.28,1.33,11.68,7.7,0.61,0.57,0.44,8.22,0.12,0.12
DAVID SAVARD,,D,35.6,,75,158.4,7.64,2.95,1.17,134.26,8.03,2.65,1.07,0,0,0.13,0.13,23.8,5.96,0.71,0.44
YAKOV TRENIN,,C,29.4,MIN,76,158.01,9.97,2.91,1.24,145.13,10.17,2.75,1.08,0.57,9.03,0.18,0.18,12.31,8.08,0.88,0.52
HENRI JOKIHARJU,,D,27.0,BOS,60,157.99,8.86,3.64,1.3,148.97,8.94,3.37,1.3,2.98,9.11,0.46,0.22,6.04,7.26,0.45,0.28
TAYLOR RADDYSH,,L,28.3,NYR,80,157.2,9.54,2.66,1.12,150.06,9.54,2.5,1.03,6.91,9.56,0.6,0.38,0.23,9.04,0.12,0.12
JUSTIN HOLL,,D,34.3,STL,73,156.55,8.7,3.16,1.31,147.09,8.87,3.09,1.28,0.09,10.23,0.03,0.03,9.37,6.67,0.48,0.29
MICHAEL RASMUSSEN,,C,27.1,DET,77,156.08,9.07,2.72,1.08,138.9,9.39,2.59,1.02,9.8,7.14,0.61,0.3,7.38,7.06,0.37,0.23
TREVOR ZEGRAS,,C,25.2,PHI,57,155.95,9.63,3.39,1.36,135,9.77,3.2,1.16,20.92,8.82,1.22,0.53,0.03,6.6,0.01,0.01
DECLAN CHISHOLM,,D,26.4,WSH,66,155.94,8.34,3.49,1.4,146.43,8.35,2.97,1.23,8.13,8.54,0.59,0.59,1.39,7.05,0.22,0.17
ZACHARY BOLDUC,,L,23.3,MTL,72,155.56,10.12,2.91,1.26,142.24,10.31,2.53,1.07,13.2,8.44,0.68,0.39,0,0,0.08,0.08
NICK PERBIX,,D,28.0,NSH,74,154.63,8.54,3.22,1.28,152.05,8.55,3.08,1.28,0.22,11.75,0.05,0.05,2.36,7.41,0.49,0.2
CONNOR ZARY,,L,24.7,CGY,54,153.71,10.63,3.88,1.39,133.62,10.68,3.51,1.3,19.88,10.17,0.78,0.65,0,0,0.2,0.2
ARTEM ZUB,,D,30.7,OTT,56,153.51,7.97,3.52,1.31,137.16,8.17,3.15,1.31,0.99,8.28,0.18,0.18,15.36,6.55,0.85,0.63
JIRI KULICH,,L,22.1,BUF,62,153.28,10.03,3.26,1.34,139.83,10.14,2.99,1.34,13.02,8.91,0.61,0.33,0.44,11.29,0.08,0.07
JASON DICKINSON,,C,30.9,EDM,59,153.26,9.93,3.28,1.3,131.23,10.11,2.9,1.24,0.37,10.58,0.1,0.1,21.65,8.92,1.09,0.56
YANNI GOURDE,,C,34.5,T.B,57,152.68,10.02,3.45,1.22,139.82,10.15,3.2,1.22,3.16,7.61,0.33,0.22,9.7,9.26,0.75,0.5
MASON MARCHMENT,,L,31.0,CBJ,62,152.63,9.63,3.01,1.15,137.18,9.92,2.82,1.15,15.38,7.63,0.87,0.43,0.08,11.39,0.05,0.05
LUKE EVANGELISTA,,R,24.3,NSH,68,152.52,9.7,3.12,1.23,139.01,9.74,2.81,1.23,13.51,9.35,0.74,0.52,0,0,0,0
EGOR ZAMULA,,D,26.2,CBJ,63,152.34,8.78,3.29,1.29,141.35,8.78,3.14,1.27,5.69,9.55,0.79,0.52,5.3,8.02,0.44,0.3
MARAT KHUSNUTDINOV,,L,23.9,BOS,75,151.95,10.06,3.14,1.18,135.2,10.2,2.92,1.18,4.29,10.6,0.56,0.46,12.46,8.58,0.62,0.4
LUKAS REICHEL,,L,24.0,BOS,70,151.81,10.92,3.05,1.13,136.29,10.94,2.7,1.06,13.67,10.93,0.64,0.41,1.85,9.72,0.36,0.2
COLE SMITH,,L,30.6,VGK,71,151.52,9.41,2.84,1.11,127.06,9.57,2.62,1.11,0.28,8.07,0.12,0.12,24.17,8.67,0.88,0.52
SCOTT MAYFIELD,,D,33.6,NYI,66,151.45,8.1,3.39,1.31,140.11,8.31,3.17,1.31,0.2,7.55,0.06,0.06,11.15,6.16,0.53,0.31
ZEMGUS GIRGENSONS,,L,32.4,T.B,82,151.04,9.47,3.02,1.17,133.21,9.67,2.97,1.17,0.18,9.4,0.05,0.05,17.65,8.22,0.55,0.33
CODY GLASS,,C,27.2,N.J,65,150.88,10.2,2.93,1.17,133.08,10.38,2.79,1.17,6.36,9.79,0.83,0.44,11.44,8.64,0.65,0.36
JONATAN BERGGREN,,L,25.9,STL,75,150.83,9.3,2.97,1.18,142.9,9.4,2.78,1.18,7.93,7.73,0.54,0.3,0,0,0,0
KIRBY DACH,,R,25.4,MTL,57,150.19,10.09,3.52,1.28,129.38,10.35,3.04,1.25,20.49,8.7,1.05,0.69,0.32,9.36,0.07,0.07
MAVRIK BOURQUE,,R,24.4,DAL,73,149.89,9.71,2.71,1.04,136.49,9.78,2.43,0.98,6.61,9.39,0.45,0.33,6.79,8.78,0.43,0.35
RADEK FAKSA,,C,32.4,DAL,70,149.76,9.86,2.92,1.04,135.27,10.01,2.61,1.04,1.49,8.63,0.32,0.21,13,8.62,0.48,0.4
KIRILL KAPRIZOV,,L,29.1,MIN,41,149.74,9.75,4.63,1.75,129.33,9.88,4.55,1.61,20.38,9.05,1.14,0.65,0.03,7.76,0.02,0.02
JEFF SKINNER,,L,34.0,,72,149.62,9.59,2.98,1.15,137.21,9.71,2.73,1.13,12.41,8.48,0.72,0.48,0,2.8,0,0
BRAYDEN PACHAL,,D,26.8,CGY,76,149.58,8.29,2.8,1.18,138.72,8.43,2.69,1.04,0.23,9.93,0.09,0.06,10.63,6.81,0.5,0.29
FILIP CHYTIL,,C,26.7,VAN,56,149.37,10.69,3.65,1.31,134.36,10.71,3.65,1.26,14.94,10.5,1,0.56,0.06,8.43,0.02,0.02
JOE VELENO,,C,26.4,MTL,74,148.36,9.93,2.89,1.1,142.42,10,2.89,1.1,0.55,9.71,0.07,0.07,5.39,8.36,0.42,0.25
J.J. MOSER,,D,26.0,T.B,54,147.87,8.72,3.75,1.3,134.11,8.86,3.24,1.27,3.24,8.52,0.59,0.35,10.52,7.25,0.51,0.47
ERIK GUSTAFSSON,,D,34.2,DET,60,147.72,9.05,3.63,1.34,133.32,9.08,3.63,1.34,14.35,8.84,0.78,0.51,0.06,4.26,0.03,0.03
JACK DRURY,,C,26.3,COL,72,146.86,9.47,2.79,1.2,124.13,9.7,2.41,0.98,9.13,8.78,0.65,0.49,13.6,8.17,0.52,0.4
ROSS COLTON,,L,29.7,NSH,61,146.68,10,3.48,1.35,132.15,10.21,3.26,1.24,13.7,8.43,0.71,0.44,0.83,8.78,0.22,0.17
WILLIAM KARLSSON,,C,33.4,VGK,53,145.77,9.7,3.42,1.26,124.02,9.91,3,1.14,11.26,8.98,0.71,0.46,10.48,8.35,0.62,0.35
JONAS SIEGENTHALER,,D,29.1,N.J,55,145.43,8.09,3.68,1.38,132.65,8.23,3.52,1.38,0.27,7.99,0.12,0.12,12.51,6.88,0.79,0.45
JOHN BEECHER,,C,25.2,CGY,78,145.39,9.91,2.43,0.96,127.56,10.12,2.12,0.96,0.82,9.09,0.24,0.24,17.01,8.63,0.76,0.35
TANNER PEARSON,,L,33.8,BUF,78,144.61,9.44,2.69,0.99,141.44,9.45,2.56,0.99,0.26,7.01,0.14,0.1,2.91,8.99,0.29,0.29
WYATT KAISER,,D,23.8,CHI,57,144.38,8.39,3.25,1.22,133.44,8.51,3.12,1.22,0.59,11.96,0.18,0.1,10.34,6.96,0.5,0.31
JOEL HANLEY,,D,35.0,CGY,53,144.26,8.79,3.52,1.3,135.23,8.91,3.16,1.2,0.91,10.89,0.17,0.13,8.13,7.03,0.45,0.29
PONTUS HOLMBERG,,C,27.2,T.B,68,144.17,10.05,3.35,1.3,134.96,10.18,3.35,1.3,1.13,10.13,0.15,0.13,8.08,8.23,0.56,0.49
ARBER XHEKAJ,,D,25.3,MTL,70,143.73,8.42,2.96,1.23,136.23,8.54,2.75,1.07,0.44,8.9,0.16,0.16,7.06,6.67,0.39,0.33
NILS HOGLANDER,,R,25.5,VAN,72,143.5,9.86,2.92,1.12,135.89,9.89,2.92,1.12,7.49,9.24,0.47,0.46,0.11,10.36,0.05,0.05
MATTHEW TKACHUK,,R,28.5,FLA,52,141.98,8.99,3.3,1.34,120.74,9.39,3.19,1.28,20.95,7.22,0.98,0.51,0.3,8.45,0.09,0.06
FRANK NAZAR,,C,22.4,CHI,53,141.95,10.13,3.48,1.3,122.43,10.22,3.27,1.3,11.22,9.55,0.81,0.58,8.3,9.65,0.41,0.29
COREY PERRY,,R,41.1,T.B,81,141.45,8.78,2.5,1.01,130.02,9.06,2.3,1,11.43,6.47,0.54,0.43,0,0,0,0
VALERI NICHUSHKIN,,R,31.3,COL,43,141.35,9.99,4.45,1.55,116.53,10.56,3.52,1.45,16.16,7.4,0.9,0.59,8.65,9.35,0.78,0.4
HENRY THRUN,,D,25.2,TOR,60,141.15,8.06,3.35,1.21,132.14,8.2,3.15,1.18,1.93,8.23,0.26,0.26,7.07,6.08,0.57,0.28
STEVEN LORENTZ,,L,30.1,TOR,80,140.42,9.98,2.61,1.1,126.19,10.08,2.51,0.95,0.35,8.98,0.09,0.08,13.88,9.15,0.71,0.62
ALBERT JOHANSSON,,D,25.4,DET,61,140.29,8.43,3.14,1.2,137.15,8.49,3.14,1.2,0.53,8.75,0.08,0.08,2.61,6.25,0.3,0.27
LOGAN STANLEY,,D,28.0,BUF,63,139.87,8.55,3.26,1.42,130.85,8.7,3.1,1.42,0.16,9.2,0.04,0.04,8.86,6.82,0.4,0.29
JUSTIN DANFORTH,,R,33.2,BUF,61,139.12,9.51,2.88,1.19,121.69,9.71,2.77,1.19,2.97,7.46,0.38,0.34,14.46,8.56,0.69,0.48
NATHAN WALKER,,R,32.3,STL,73,138.99,9.44,2.45,0.97,130.86,9.53,2.32,0.94,1.13,9.58,0.4,0.21,7,7.96,0.29,0.23
JUSTIN BRAZEAU,,R,28.3,PIT,76,138.56,9.22,2.67,1,127.26,9.43,2.65,0.99,11.06,7.36,0.59,0.34,0.24,8.29,0.1,0.1
PARKER WOTHERSPOON,,D,28.8,PIT,55,138.51,8.38,3.23,1.21,129.32,8.51,3.02,1.21,1.06,8.77,0.26,0.26,8.13,6.68,0.47,0.26
OSKAR BACK,,C,26.2,DAL,73,137.67,9.67,3.02,1.17,121.57,9.82,2.74,1.05,0.36,8.12,0.13,0.13,15.74,8.64,0.56,0.36
TRAVIS HAMONIC,,D,35.8,DET,59,136.77,8.15,3.01,1.18,126.44,8.31,2.91,1.14,0.34,8.71,0.08,0.08,9.99,6.55,0.46,0.38
